Date,Open,High,Low,Close,Adj Close,Volume
2019-10-09,56.270000,56.970001,55.930000,56.529999,55.359505,2242800
2019-10-10,56.400002,57.820000,56.130001,57.340000,56.152733,2361600
2019-10-11,58.540001,59.279999,58.009998,58.349998,57.141819,2617800
2019-10-14,59.610001,60.230000,58.799999,59.279999,58.052559,3745100
2019-10-15,59.310001,60.939999,59.259998,60.820000,59.560677,3573700
2019-10-16,60.939999,61.090000,59.340000,59.459999,58.228832,2716600
2019-10-17,60.090000,60.090000,58.709999,59.619999,58.385521,3086700
2019-10-18,59.080002,59.209999,57.259998,58.130001,56.926373,3324400
2019-10-21,58.590000,59.060001,58.279999,58.599998,57.386639,2187600
2019-10-22,58.709999,59.900002,58.709999,58.860001,57.641258,3092100
2019-10-23,58.130001,58.130001,56.880001,57.650002,56.456314,3332900
2019-10-24,58.830002,60.230000,58.240002,59.520000,58.287594,3744600
2019-10-25,59.529999,61.320000,59.279999,61.230000,59.962185,3394600
2019-10-28,62.150002,62.860001,61.560001,62.730000,61.431129,3102000
2019-10-29,62.849998,63.130001,62.230000,62.790001,61.489883,2826500
2019-10-30,62.930000,63.090000,61.330002,62.160000,60.872932,4748200
2019-10-31,57.310001,58.000000,51.549999,51.650002,50.580547,22281500
2019-11-01,51.810001,54.380001,51.509998,53.830002,52.715408,9613100
2019-11-04,54.590000,55.070000,53.830002,54.959999,53.822010,5232700
2019-11-05,55.020000,55.180000,53.880001,54.139999,53.018986,4537000
2019-11-06,53.939999,53.959999,52.770000,53.720001,52.607689,5817800
2019-11-07,54.560001,54.669998,53.080002,53.240002,52.137627,3866800
2019-11-08,53.009998,53.099998,51.580002,52.020000,50.942886,5762100
2019-11-11,51.290001,52.209999,50.970001,51.990002,50.913509,4376900
2019-11-12,52.139999,52.830002,51.759998,52.540001,51.452122,4203500
2019-11-13,51.910000,51.970001,50.610001,51.020000,49.963593,5217500
2019-11-14,50.820000,50.880001,49.450001,50.380001,49.336845,4626400
2019-11-15,50.990002,51.430000,50.150002,50.340000,49.297672,5377100
2019-11-18,50.250000,50.400002,48.930000,49.509998,48.484856,5729100
2019-11-19,49.700001,49.700001,47.259998,47.520000,46.536064,8323200
2019-11-20,47.500000,48.919998,47.480000,48.500000,47.495770,11083000
2019-11-21,48.380001,48.990002,47.619999,47.840000,46.849434,4259500
2019-11-22,48.220001,48.869999,47.959999,48.459999,47.456600,2941200
2019-11-25,48.680000,49.930000,48.590000,49.759998,48.729679,3829100
2019-11-26,49.730000,49.810001,48.470001,48.709999,47.701420,3847000
2019-11-27,49.169998,50.490002,49.080002,50.410000,49.366222,3829100
2019-11-29,50.389999,50.720001,49.990002,50.330002,49.287880,1867300
2019-12-02,50.340000,50.740002,48.450001,48.500000,47.495770,5157700
2019-12-03,47.500000,47.779999,46.650002,47.709999,46.722126,4254000
2019-12-04,48.189999,48.680000,47.369999,47.439999,46.457718,4780000
2019-12-05,47.799999,48.180000,47.240002,47.389999,46.408756,3780200
2019-12-06,48.180000,49.660000,48.009998,49.080002,48.063763,4025700
2019-12-09,48.720001,49.080002,47.599998,48.060001,47.064884,4332300
2019-12-10,48.509998,49.980000,48.189999,49.240002,48.220451,5188500
2019-12-11,49.700001,51.490002,49.500000,51.070000,50.012554,4645900
2019-12-12,51.240002,53.930000,51.220001,53.730000,52.617477,7302300
2019-12-13,54.060001,55.400002,53.750000,54.299999,53.175674,6783200
2019-12-16,56.320000,58.340000,56.049999,56.500000,55.330124,9249100
2019-12-17,56.790001,57.590000,56.330002,57.240002,56.054802,4810800
2019-12-18,57.169998,57.709999,56.810001,57.230000,56.045010,3849600
2019-12-19,58.900002,59.400002,57.540001,58.770000,57.553123,5717700
2019-12-20,59.619999,61.270000,59.160000,61.110001,59.844673,9714100
2019-12-23,61.029999,63.070000,60.900002,62.700001,61.401749,5355800
2019-12-24,62.740002,62.779999,61.830002,62.230000,60.941479,1932900
2019-12-26,62.119999,63.200001,62.020000,62.799999,61.499676,2323300
2019-12-27,63.099998,63.599998,61.889999,62.130001,60.843552,3178700
2019-12-30,62.000000,62.480000,60.590000,62.380001,61.088375,3250100
2019-12-31,61.910000,63.509998,61.700001,63.470001,62.155804,3850300
2020-01-02,64.199997,65.980003,64.199997,65.620003,64.771545,6669500
2020-01-03,63.889999,65.309998,63.549999,64.610001,63.774597,3958000
2020-01-06,62.959999,64.550003,62.750000,63.369999,62.550629,4085900
2020-01-07,65.209999,67.980003,64.529999,67.660004,66.785164,11090300
2020-01-08,67.209999,69.000000,66.629997,68.639999,67.752487,6600100
2020-01-09,69.389999,69.669998,67.290001,68.620003,67.732750,5190700
2020-01-10,68.889999,69.029999,67.660004,67.940002,67.061546,4484300
2020-01-13,68.559998,69.680000,68.230003,69.129997,68.236153,4161000
2020-01-14,69.199997,70.500000,68.900002,69.209999,68.315117,4479400
2020-01-15,68.389999,68.580002,66.040001,66.669998,65.807961,5841100
2020-01-16,68.040001,68.900002,67.660004,68.669998,67.782104,5229500
2020-01-17,69.760002,69.800003,67.860001,68.260002,67.377403,4217100
2020-01-21,67.570000,68.989998,67.470001,68.790001,67.900551,5044200
2020-01-22,69.040001,69.809998,68.279999,68.669998,67.782104,3026400
2020-01-23,70.360001,72.000000,68.639999,70.930000,70.012878,6943500
2020-01-24,71.709999,71.760002,68.889999,69.519997,68.621109,4444600
2020-01-27,66.269997,67.500000,65.320000,66.660004,65.798096,4577900
2020-01-28,67.480003,68.830002,66.419998,68.410004,67.525467,3430900
2020-01-29,68.180000,68.620003,66.620003,66.760002,65.896797,3118500
2020-01-30,65.389999,66.970001,64.510002,66.959999,66.094215,8747700
2020-01-31,69.160004,69.500000,65.169998,65.500000,64.653091,14053200
2020-02-03,65.599998,69.050003,64.690002,67.239998,66.370590,5782200
2020-02-04,69.000000,69.879997,68.349998,68.430000,67.545204,4745000
2020-02-05,69.440002,70.480003,67.410004,68.110001,67.229347,4870700
2020-02-06,68.779999,69.129997,67.639999,68.699997,67.811714,3730200
2020-02-07,68.050003,68.239998,66.889999,67.029999,66.163307,4041500
2020-02-10,66.400002,68.019997,66.260002,68.019997,67.140503,3084700
2020-02-11,69.139999,69.800003,68.239998,68.919998,68.028870,3871000
2020-02-12,69.699997,71.300003,69.699997,70.349998,69.440376,3981700
2020-02-13,69.160004,71.089996,69.040001,69.580002,68.680336,3670500
2020-02-14,70.139999,70.269997,68.339996,69.250000,68.354607,3204400
2020-02-18,67.720001,68.430000,67.010002,68.309998,67.426758,2651800
2020-02-19,68.980003,70.279999,68.800003,69.559998,68.660591,2669400
2020-02-20,69.599998,69.699997,67.430000,69.059998,68.167061,2374000
2020-02-21,68.480003,68.769997,66.150002,66.980003,66.113960,4101400
2020-02-24,63.599998,64.940002,63.139999,63.560001,62.738174,5069400
2020-02-25,63.630001,64.110001,59.099998,59.529999,58.760281,5893900
2020-02-26,59.869999,61.730000,59.330002,59.619999,58.849117,4825300
2020-02-27,57.099998,58.389999,54.939999,55.169998,54.456654,6394400
2020-02-28,52.250000,55.709999,51.779999,55.560001,54.841614,7883300
2020-03-02,57.349998,60.070000,56.380001,60.040001,59.263687,7553300
2020-03-03,59.599998,60.959999,56.340000,56.930000,56.193901,5420700
2020-03-04,58.340000,59.279999,56.750000,59.139999,58.375324,5143200
2020-03-05,56.880001,59.560001,56.779999,57.709999,56.963814,4487400
2020-03-06,55.049999,57.080002,53.369999,54.730000,54.022346,6009200
2020-03-09,49.560001,50.650002,47.320000,47.400002,46.787125,6745200
2020-03-10,49.970001,50.500000,46.430000,49.950001,49.304150,7447000
2020-03-11,47.820000,47.959999,44.189999,45.139999,44.556343,7660600
2020-03-12,40.639999,43.049999,36.810001,39.110001,38.604313,9630500
2020-03-13,42.810001,43.130001,38.380001,41.820000,41.279270,8375000
2020-03-16,35.340000,37.770000,33.130001,33.270000,32.839821,8872800
2020-03-17,34.230000,37.000000,31.000000,34.049999,33.609737,10273500
2020-03-18,31.049999,32.000000,27.940001,29.190001,28.812576,8865200
2020-03-19,29.200001,32.529999,27.400000,31.340000,30.934776,6842400
2020-03-20,32.349998,34.830002,31.000000,31.049999,30.648525,9269000
2020-03-23,32.090000,35.000000,30.200001,34.369999,33.925598,10503800
2020-03-24,37.590000,41.349998,36.610001,40.470001,39.946728,10365300
2020-03-25,40.799999,45.410000,38.939999,41.630001,41.091728,9430300
2020-03-26,43.490002,46.189999,42.700001,44.290001,43.717335,8747000
2020-03-27,42.360001,43.680000,40.570000,42.250000,41.703712,6539200
2020-03-30,42.750000,44.580002,41.820000,43.509998,42.947418,5753100
2020-03-31,43.099998,44.130001,41.070000,41.619999,41.081856,6797300
2020-04-01,39.700001,41.279999,37.910000,38.669998,38.169998,6616600
2020-04-02,38.560001,40.689999,37.430000,38.400002,38.400002,5425100
2020-04-03,38.610001,39.380001,37.500000,38.209999,38.209999,3422900
2020-04-06,40.639999,43.680000,40.639999,43.310001,43.310001,6465800
2020-04-07,45.549999,47.180000,42.660000,42.860001,42.860001,7256600
2020-04-08,43.759998,45.919998,43.509998,45.340000,45.340000,4974300
2020-04-09,46.709999,48.160000,43.580002,45.049999,45.049999,6497600
2020-04-13,44.270000,44.810001,42.810001,43.759998,43.759998,5688600
2020-04-14,44.759998,45.900002,44.200001,44.770000,44.770000,5780500
2020-04-15,43.150002,43.590000,41.799999,42.650002,42.650002,5064100
2020-04-16,42.790001,43.000000,40.400002,41.080002,41.080002,6075300
2020-04-17,43.139999,43.160000,41.660000,42.320000,42.320000,5856700
2020-04-20,41.580002,41.580002,39.490002,39.549999,39.549999,7781400
2020-04-21,38.560001,38.990002,37.689999,37.830002,37.830002,6168100
2020-04-22,39.209999,40.349998,38.900002,39.930000,39.930000,4630100
2020-04-23,40.060001,40.630001,39.009998,39.389999,39.389999,5167500
2020-04-24,39.669998,40.910000,39.040001,40.689999,40.689999,4208000
2020-04-27,41.290001,43.250000,41.209999,43.090000,43.090000,4864800
2020-04-28,44.320000,45.040001,43.310001,44.700001,44.700001,6040300
2020-04-29,46.000000,48.830002,45.290001,47.730000,47.730000,8785600
2020-04-30,47.150002,47.220001,45.209999,46.080002,46.080002,9183700
